Plot,Block,CO2,N,Species,Density_stemwood,Density_stembark
4,c,Elevated,Unfertilized,P. taeda,0.416,0.666
4,c,Elevated,Unfertilized,P. taeda,0.529,0.7
7,d,Elevated,Unfertilized,P. taeda,0.448,0.345
7,d,Elevated,Unfertilized,P. taeda,0.339,0.349
7,d,Elevated,Unfertilized,P. taeda,0.385,0.384
7,d,Elevated,Unfertilized,P. taeda,0.346,0.437
7,d,Elevated,Unfertilized,P. taeda,0.432,0.274
7,d,Elevated,Unfertilized,P. taeda,0.429,0.224
7,d,Elevated,Unfertilized,P. taeda,0.395,NA
7,d,Elevated,Unfertilized,P. taeda,0.43,0.391
7,d,Elevated,Unfertilized,P. taeda,0.378,0.569
7,d,Elevated,Unfertilized,P. taeda,0.45,0.365
7,d,Elevated,Unfertilized,P. taeda,0.514,0.594
5,b,Ambient,Fertilized,P. taeda,0.453,0.276
6,c,Ambient,Fertilized,P. taeda,NA,0.721
6,c,Ambient,Fertilized,P. taeda,0.374,0.553
6,c,Ambient,Fertilized,P. taeda,0.385,0.622
8,d,Ambient,Fertilized,P. taeda,0.405,0.42
8,d,Ambient,Fertilized,P. taeda,0.466,0.366
8,d,Ambient,Fertilized,P. taeda,0.459,0.545
3,b,Elevated,Fertilized,P. taeda,0.395,0.359
4,c,Elevated,Fertilized,P. taeda,0.363,NA
7,d,Elevated,Fertilized,P. taeda,0.431,0.553
7,d,Elevated,Fertilized,P. taeda,0.366,0.587
7,d,Elevated,Fertilized,P. taeda,0.479,0.551
7,d,Elevated,Fertilized,P. taeda,0.448,0.378
7,d,Elevated,Fertilized,P. taeda,0.442,0.343
7,d,Elevated,Fertilized,P. taeda,0.358,NA
7,d,Elevated,Fertilized,P. taeda,0.423,0.555
7,d,Elevated,Fertilized,P. taeda,0.483,0.402
7,d,Elevated,Fertilized,P. taeda,0.412,0.542
6,c,Ambient,Unfertilized,L. styraciflua,0.558,0.331
6,c,Ambient,Unfertilized,L. styraciflua,0.435,0.653
6,c,Ambient,Unfertilized,L. styraciflua,0.497,0.909
6,c,Ambient,Unfertilized,L. styraciflua,0.417,0.211
6,c,Ambient,Unfertilized,L. styraciflua,0.402,0.792
6,c,Ambient,Unfertilized,L. styraciflua,0.365,0.765
6,c,Ambient,Unfertilized,L. styraciflua,0.543,0.338
6,c,Ambient,Unfertilized,L. styraciflua,0.516,0.318
6,c,Ambient,Unfertilized,L. styraciflua,0.428,0.855
6,c,Ambient,Unfertilized,L. styraciflua,0.44,0.585
6,c,Ambient,Unfertilized,L. styraciflua,0.477,0.253
6,c,Ambient,Unfertilized,L. styraciflua,0.47,0.809
6,c,Ambient,Unfertilized,L. styraciflua,0.461,0.831
8,d,Ambient,Unfertilized,L. styraciflua,0.549,0.386
8,d,Ambient,Unfertilized,L. styraciflua,0.545,0.92
8,d,Ambient,Unfertilized,L. styraciflua,0.462,0.768
8,d,Ambient,Unfertilized,L. styraciflua,0.496,0.284
8,d,Ambient,Unfertilized,L. styraciflua,0.46,0.621
8,d,Ambient,Unfertilized,L. styraciflua,0.504,1.015
2,a,Elevated,Unfertilized,L. styraciflua,0.497,0.616
3,b,Elevated,Unfertilized,L. styraciflua,0.441,0.882
4,c,Elevated,Unfertilized,L. styraciflua,0.482,0.868
4,c,Elevated,Unfertilized,L. styraciflua,0.468,0.962
7,d,Elevated,Unfertilized,L. styraciflua,0.497,0.901
7,d,Elevated,Unfertilized,L. styraciflua,0.453,0.89
7,d,Elevated,Unfertilized,L. styraciflua,0.527,1.042
7,d,Elevated,Unfertilized,L. styraciflua,0.49,0.788
4,c,Elevated,Fertilized,L. styraciflua,0.466,0.73
