Plot,Block,CO2,N,Species,DBH,Height
3,b,Elevated,Unfertilized,P. taeda,25.5,23.2
3,b,Elevated,Unfertilized,P. taeda,14.7,19.3
3,b,Elevated,Unfertilized,P. taeda,21.9,22.48
3,b,Elevated,Unfertilized,P. taeda,26.4,23.4
3,b,Elevated,Unfertilized,P. taeda,19,22.78
3,b,Elevated,Unfertilized,P. taeda,21.6,22.8
3,b,Elevated,Unfertilized,P. taeda,21,23.43
3,b,Elevated,Unfertilized,P. taeda,20.1,22.85
3,b,Elevated,Unfertilized,P. taeda,32.1,23.37
3,b,Elevated,Unfertilized,P. taeda,32.7,24.9
3,b,Elevated,Unfertilized,P. taeda,28,24.66
3,b,Elevated,Unfertilized,P. taeda,26.8,23.4
3,b,Elevated,Unfertilized,P. taeda,26.2,24.3
3,b,Elevated,Unfertilized,P. taeda,29,23.39
4,c,Elevated,Unfertilized,P. taeda,17.4,20.49
4,c,Elevated,Unfertilized,P. taeda,22.5,21.26
4,c,Elevated,Unfertilized,P. taeda,21.9,19.51
4,c,Elevated,Unfertilized,P. taeda,20.6,20.45
4,c,Elevated,Unfertilized,P. taeda,31.5,22.85
4,c,Elevated,Unfertilized,P. taeda,22.5,18.9
4,c,Elevated,Unfertilized,P. taeda,32.3,23.45
4,c,Elevated,Unfertilized,P. taeda,27.8,22.16
4,c,Elevated,Unfertilized,P. taeda,18,18.84
4,c,Elevated,Unfertilized,P. taeda,15.5,19.43
4,c,Elevated,Unfertilized,P. taeda,28.4,22.35
4,c,Elevated,Unfertilized,P. taeda,22,20.11
4,c,Elevated,Fertilized,P. taeda,24.5,23.12
4,c,Elevated,Fertilized,P. taeda,22.6,19.81
4,c,Elevated,Fertilized,P. taeda,23.9,22.13
4,c,Elevated,Fertilized,P. taeda,24.3,21.78
4,c,Elevated,Fertilized,P. taeda,29.6,24.64
4,c,Elevated,Fertilized,P. taeda,23.4,20.66
4,c,Elevated,Fertilized,P. taeda,21.9,21.26
4,c,Elevated,Fertilized,P. taeda,16,14.82
4,c,Elevated,Fertilized,P. taeda,21,20.24
4,c,Elevated,Fertilized,P. taeda,21.3,18.96
4,c,Elevated,Fertilized,P. taeda,25.8,21.47
5,b,Ambient,Fertilized,P. taeda,20.8,22.29
5,b,Ambient,Fertilized,P. taeda,18.8,22.12
5,b,Ambient,Fertilized,P. taeda,27.4,21.95
5,b,Ambient,Fertilized,P. taeda,18.85,17.72
5,b,Ambient,Fertilized,P. taeda,28.4,21.67
5,b,Ambient,Fertilized,P. taeda,20,22.96
5,b,Ambient,Fertilized,P. taeda,28.8,21.49
5,b,Ambient,Fertilized,P. taeda,38,24.73
5,b,Ambient,Unfertilized,P. taeda,27,22.37
5,b,Ambient,Unfertilized,P. taeda,31.5,21.79
5,b,Ambient,Unfertilized,P. taeda,26.6,21.82
5,b,Ambient,Unfertilized,P. taeda,18.3,19.24
5,b,Ambient,Unfertilized,P. taeda,23.9,21.51
5,b,Ambient,Unfertilized,P. taeda,23.4,22.29
5,b,Ambient,Unfertilized,P. taeda,31.5,22.85
5,b,Ambient,Unfertilized,P. taeda,25.8,21.86
5,b,Ambient,Unfertilized,P. taeda,23.4,20.57
5,b,Ambient,Unfertilized,P. taeda,25.9,22.38
5,b,Ambient,Unfertilized,P. taeda,21.1,21.58
5,b,Ambient,Unfertilized,P. taeda,32.1,24.17
6,c,Ambient,Fertilized,P. taeda,19.2,18.8
6,c,Ambient,Fertilized,P. taeda,22.4,20.08
6,c,Ambient,Fertilized,P. taeda,15,15.81
6,c,Ambient,Fertilized,P. taeda,24.8,19.71
6,c,Ambient,Fertilized,P. taeda,18.2,19.31
6,c,Ambient,Fertilized,P. taeda,13.8,19.6
6,c,Ambient,Fertilized,P. taeda,13.5,17.54
6,c,Ambient,Fertilized,P. taeda,24.6,21.42
6,c,Ambient,Fertilized,P. taeda,21.2,21.34
6,c,Ambient,Fertilized,P. taeda,19.1,20.19
6,c,Ambient,Fertilized,P. taeda,20.9,20.92
6,c,Ambient,Fertilized,P. taeda,21,19.65
6,c,Ambient,Fertilized,P. taeda,26.3,22.43
6,c,Ambient,Fertilized,P. taeda,14.3,14.68
6,c,Ambient,Fertilized,P. taeda,22.5,21.16
6,c,Ambient,Fertilized,P. taeda,24.3,21.11
6,c,Ambient,Fertilized,P. taeda,14.8,18.27
6,c,Ambient,Unfertilized,P. taeda,19.8,20.8
6,c,Ambient,Unfertilized,P. taeda,24,20.48
6,c,Ambient,Unfertilized,P. taeda,13.1,17.78
6,c,Ambient,Unfertilized,P. taeda,17.2,13.28
6,c,Ambient,Unfertilized,P. taeda,22.4,20.64
6,c,Ambient,Unfertilized,P. taeda,18.6,19.41
6,c,Ambient,Unfertilized,P. taeda,18.5,19.8
6,c,Ambient,Unfertilized,P. taeda,18.9,19.87
6,c,Ambient,Unfertilized,P. taeda,30,21.27
6,c,Ambient,Unfertilized,P. taeda,29.2,21.54
6,c,Ambient,Unfertilized,P. taeda,15.85,18.91
6,c,Ambient,Unfertilized,P. taeda,10.6,14.92
6,c,Ambient,Unfertilized,P. taeda,14.4,18.72
6,c,Ambient,Unfertilized,P. taeda,27.3,20.39
6,c,Ambient,Unfertilized,P. taeda,22.6,20.94
6,c,Ambient,Unfertilized,P. taeda,16,18.45
7,d,Elevated,Fertilized,P. taeda,27.5,22.87
7,d,Elevated,Fertilized,P. taeda,26.9,23.43
7,d,Elevated,Fertilized,P. taeda,29.5,22.17
7,d,Elevated,Fertilized,P. taeda,22.3,21.73
7,d,Elevated,Fertilized,P. taeda,17.4,20.11
7,d,Elevated,Fertilized,P. taeda,19.4,19.87
7,d,Elevated,Fertilized,P. taeda,17,15.94
7,d,Elevated,Fertilized,P. taeda,29.5,21.95
7,d,Elevated,Fertilized,P. taeda,33.1,22.7
7,d,Elevated,Fertilized,P. taeda,28.5,22.74
7,d,Elevated,Unfertilized,P. taeda,20.3,21.7
7,d,Elevated,Unfertilized,P. taeda,23.5,21.38
7,d,Elevated,Unfertilized,P. taeda,30.4,24.75
7,d,Elevated,Unfertilized,P. taeda,29.8,25.12
7,d,Elevated,Unfertilized,P. taeda,22.1,21.59
7,d,Elevated,Unfertilized,P. taeda,28,23.14
7,d,Elevated,Unfertilized,P. taeda,20,20.9
7,d,Elevated,Unfertilized,P. taeda,19.8,21.68
7,d,Elevated,Unfertilized,P. taeda,21.4,21.45
7,d,Elevated,Unfertilized,P. taeda,18.6,21.23
7,d,Elevated,Unfertilized,P. taeda,27.5,23.75
7,d,Elevated,Unfertilized,P. taeda,23.1,22.03
8,d,Ambient,Unfertilized,P. taeda,19.5,15.75
8,d,Ambient,Unfertilized,P. taeda,17.4,19.94
8,d,Ambient,Unfertilized,P. taeda,12.6,18.1
8,d,Ambient,Unfertilized,P. taeda,12,15.26
8,d,Ambient,Unfertilized,P. taeda,27.2,22.21
8,d,Ambient,Unfertilized,P. taeda,31,22.89
8,d,Ambient,Unfertilized,P. taeda,20.9,21.3
8,d,Ambient,Unfertilized,P. taeda,23.5,21.82
8,d,Ambient,Unfertilized,P. taeda,18.9,20.7
8,d,Ambient,Unfertilized,P. taeda,16.1,19.75
8,d,Ambient,Unfertilized,P. taeda,13.3,18.45
8,d,Ambient,Unfertilized,P. taeda,12.5,18.78
8,d,Ambient,Unfertilized,P. taeda,13.4,18.24
8,d,Ambient,Unfertilized,P. taeda,10.6,16.73
8,d,Ambient,Fertilized,P. taeda,27,21.7
8,d,Ambient,Fertilized,P. taeda,24.8,20.96
8,d,Ambient,Fertilized,P. taeda,19.7,21.48
8,d,Ambient,Fertilized,P. taeda,25.4,21.05
8,d,Ambient,Fertilized,P. taeda,24,20.09
8,d,Ambient,Fertilized,P. taeda,20,18.96
8,d,Ambient,Fertilized,P. taeda,29,22.34
8,d,Ambient,Fertilized,P. taeda,29.2,21.03
8,d,Ambient,Fertilized,P. taeda,28.9,21.04
8,d,Ambient,Fertilized,P. taeda,24.6,21.76
8,d,Ambient,Fertilized,P. taeda,21.4,20.16
8,d,Ambient,Fertilized,P. taeda,23.8,21.19
8,d,Ambient,Fertilized,P. taeda,16.9,15.89
1,a,Ambient,Fertilized,Broadleaved species,5.7,12.5
1,a,Ambient,Fertilized,Broadleaved species,3.4,5.4
1,a,Ambient,Fertilized,Broadleaved species,3.2,6.4
1,a,Ambient,Fertilized,Broadleaved species,5.6,8.7
1,a,Ambient,Fertilized,Broadleaved species,7.8,10.7
1,a,Ambient,Fertilized,Broadleaved species,3.65,8.7
1,a,Ambient,Fertilized,Broadleaved species,3.9,6.9
1,a,Ambient,Fertilized,Broadleaved species,5.9,9.8
1,a,Ambient,Fertilized,Broadleaved species,3.2,6.4
1,a,Ambient,Fertilized,Broadleaved species,7.55,11.45
1,a,Ambient,Fertilized,Broadleaved species,2.9,4.85
1,a,Ambient,Fertilized,Broadleaved species,4.3,6.9
1,a,Ambient,Fertilized,Broadleaved species,2.6,6.5
1,a,Ambient,Fertilized,Broadleaved species,2.9,5.45
1,a,Ambient,Fertilized,Broadleaved species,5,7.25
1,a,Ambient,Fertilized,Broadleaved species,7.3,9.55
1,a,Ambient,Fertilized,Broadleaved species,3,5.17
1,a,Ambient,Fertilized,Broadleaved species,5.2,8.1
1,a,Ambient,Fertilized,Broadleaved species,4.9,7.7
1,a,Ambient,Fertilized,Broadleaved species,4.25,6.2
1,a,Ambient,Fertilized,Broadleaved species,6.2,9.8
1,a,Ambient,Fertilized,Broadleaved species,9.85,11.37
1,a,Ambient,Fertilized,Broadleaved species,9.9,11.82
1,a,Ambient,Fertilized,Broadleaved species,4.35,7.8
1,a,Ambient,Fertilized,Broadleaved species,3.6,5.85
1,a,Ambient,Fertilized,Broadleaved species,8.6,9.88
1,a,Ambient,Fertilized,Broadleaved species,6,8.1
1,a,Ambient,Fertilized,Broadleaved species,2.7,5.6
1,a,Ambient,Fertilized,Broadleaved species,2.8,3.6
1,a,Ambient,Fertilized,Broadleaved species,4.9,9.05
1,a,Ambient,Fertilized,Broadleaved species,2.2,5.15
1,a,Ambient,Fertilized,Broadleaved species,5.7,8.7
1,a,Ambient,Fertilized,Broadleaved species,2.05,4.7
1,a,Ambient,Unfertilized,Broadleaved species,7,9.1
1,a,Ambient,Unfertilized,Broadleaved species,6.6,10.5
1,a,Ambient,Unfertilized,Broadleaved species,2.3,3.8
1,a,Ambient,Unfertilized,Broadleaved species,3.5,7.4
1,a,Ambient,Unfertilized,Broadleaved species,14.8,18.2
1,a,Ambient,Unfertilized,Broadleaved species,6.65,10.7
1,a,Ambient,Unfertilized,Broadleaved species,7,9.8
1,a,Ambient,Unfertilized,Broadleaved species,4.1,6.3
1,a,Ambient,Unfertilized,Broadleaved species,7.5,11
1,a,Ambient,Unfertilized,Broadleaved species,4.1,7.5
1,a,Ambient,Unfertilized,Broadleaved species,5.4,6.1
1,a,Ambient,Unfertilized,Broadleaved species,9.6,11
1,a,Ambient,Unfertilized,Broadleaved species,5.4,6.3
1,a,Ambient,Unfertilized,Broadleaved species,4.2,6.3
1,a,Ambient,Unfertilized,Broadleaved species,5.7,10.5
1,a,Ambient,Unfertilized,Broadleaved species,5.9,9.8
1,a,Ambient,Unfertilized,Broadleaved species,4.35,7.95
1,a,Ambient,Unfertilized,Broadleaved species,4.5,6
1,a,Ambient,Unfertilized,Broadleaved species,2.5,4.6
1,a,Ambient,Unfertilized,Broadleaved species,2.3,5.1
1,a,Ambient,Unfertilized,Broadleaved species,4.3,9.2
1,a,Ambient,Unfertilized,Broadleaved species,2.8,5.8
1,a,Ambient,Unfertilized,Broadleaved species,3.4,5.45
1,a,Ambient,Unfertilized,Broadleaved species,2.4,4.35
1,a,Ambient,Unfertilized,Broadleaved species,2.4,4.1
1,a,Ambient,Unfertilized,Broadleaved species,2.5,6.2
1,a,Ambient,Unfertilized,Broadleaved species,3.7,7.2
1,a,Ambient,Unfertilized,Broadleaved species,2.4,4.4
1,a,Ambient,Unfertilized,Broadleaved species,2.9,6.06
1,a,Ambient,Unfertilized,Broadleaved species,2.1,3.4
1,a,Ambient,Unfertilized,Broadleaved species,2.8,4.45
1,a,Ambient,Unfertilized,Broadleaved species,3.2,5.9
1,a,Ambient,Unfertilized,Broadleaved species,4.35,7.57
1,a,Ambient,Unfertilized,Broadleaved species,3.6,3.2
1,a,Ambient,Unfertilized,Broadleaved species,7,11
1,a,Ambient,Unfertilized,Broadleaved species,4.8,9.1
1,a,Ambient,Unfertilized,Broadleaved species,7,10.3
1,a,Ambient,Unfertilized,Broadleaved species,3.4,5.8
1,a,Ambient,Unfertilized,Broadleaved species,3.4,4.9
1,a,Ambient,Unfertilized,Broadleaved species,6.8,13
1,a,Ambient,Unfertilized,Broadleaved species,2.55,5.5
1,a,Ambient,Unfertilized,Broadleaved species,2.8,5.55
1,a,Ambient,Unfertilized,Broadleaved species,2.7,4.9
1,a,Ambient,Unfertilized,Broadleaved species,2.6,5.3
1,a,Ambient,Unfertilized,Broadleaved species,2.45,2.6
1,a,Ambient,Unfertilized,Broadleaved species,2.5,5.5
1,a,Ambient,Unfertilized,Broadleaved species,2.7,6.4
1,a,Ambient,Unfertilized,Broadleaved species,2.55,6.4
2,a,Elevated,Fertilized,Broadleaved species,3.9,6.7
2,a,Elevated,Fertilized,Broadleaved species,3.9,8.4
2,a,Elevated,Fertilized,Broadleaved species,3,4.7
2,a,Elevated,Fertilized,Broadleaved species,8.5,12.8
2,a,Elevated,Fertilized,Broadleaved species,5.4,9.3
2,a,Elevated,Fertilized,Broadleaved species,8.1,11.6
2,a,Elevated,Fertilized,Broadleaved species,14.2,16.98
2,a,Elevated,Fertilized,Broadleaved species,3.3,4.5
2,a,Elevated,Fertilized,Broadleaved species,6.5,9.3
2,a,Elevated,Fertilized,Broadleaved species,8.8,9.36
2,a,Elevated,Fertilized,Broadleaved species,2.4,5.5
2,a,Elevated,Fertilized,Broadleaved species,2.25,4.35
2,a,Elevated,Fertilized,Broadleaved species,7.5,8.7
2,a,Elevated,Fertilized,Broadleaved species,4.4,6.1
2,a,Elevated,Fertilized,Broadleaved species,4.3,6.5
2,a,Elevated,Fertilized,Broadleaved species,13.7,19.21
2,a,Elevated,Fertilized,Broadleaved species,3.35,5.6
2,a,Elevated,Unfertilized,Broadleaved species,10.6,14.85
2,a,Elevated,Unfertilized,Broadleaved species,3.9,6.9
2,a,Elevated,Unfertilized,Broadleaved species,4.4,8.65
2,a,Elevated,Unfertilized,Broadleaved species,5.6,9.6
2,a,Elevated,Unfertilized,Broadleaved species,3.6,3.65
2,a,Elevated,Unfertilized,Broadleaved species,4.2,7.85
2,a,Elevated,Unfertilized,Broadleaved species,4.2,8.7
2,a,Elevated,Unfertilized,Broadleaved species,3.8,5.8
2,a,Elevated,Unfertilized,Broadleaved species,7,9.15
2,a,Elevated,Unfertilized,Broadleaved species,6.5,11.45
2,a,Elevated,Unfertilized,Broadleaved species,6.5,7.8
2,a,Elevated,Unfertilized,Broadleaved species,6.2,11.75
2,a,Elevated,Unfertilized,Broadleaved species,3,6.25
2,a,Elevated,Unfertilized,Broadleaved species,2.9,5.85
2,a,Elevated,Unfertilized,Broadleaved species,5.1,4.75
2,a,Elevated,Unfertilized,Broadleaved species,2.25,5.25
2,a,Elevated,Unfertilized,Broadleaved species,7.1,7.4
2,a,Elevated,Unfertilized,Broadleaved species,3.2,6.7
2,a,Elevated,Unfertilized,Broadleaved species,6.9,11.5
2,a,Elevated,Unfertilized,Broadleaved species,8.6,10.5
2,a,Elevated,Unfertilized,Broadleaved species,3.9,7.05
2,a,Elevated,Unfertilized,Broadleaved species,5.1,9.3
2,a,Elevated,Unfertilized,Broadleaved species,4.3,7
2,a,Elevated,Unfertilized,Broadleaved species,10.05,12
2,a,Elevated,Unfertilized,Broadleaved species,4.8,7.4
2,a,Elevated,Unfertilized,Broadleaved species,12.2,15.1
2,a,Elevated,Unfertilized,Broadleaved species,4,6.45
2,a,Elevated,Unfertilized,Broadleaved species,5.2,9.5
2,a,Elevated,Unfertilized,Broadleaved species,3,6.85
2,a,Elevated,Unfertilized,Broadleaved species,12,14.43
2,a,Elevated,Unfertilized,Broadleaved species,3.9,6.9
2,a,Elevated,Unfertilized,Broadleaved species,3.7,7.7
2,a,Elevated,Unfertilized,Broadleaved species,4.4,5.71
2,a,Elevated,Unfertilized,Broadleaved species,3.2,5.5
2,a,Elevated,Unfertilized,Broadleaved species,2.8,6.4
2,a,Elevated,Unfertilized,Broadleaved species,3.8,8.2
2,a,Elevated,Unfertilized,Broadleaved species,2.8,5.4
2,a,Elevated,Unfertilized,Broadleaved species,2.6,5.3
2,a,Elevated,Unfertilized,Broadleaved species,2.7,5.9
2,a,Elevated,Unfertilized,Broadleaved species,2.5,4.45
2,a,Elevated,Unfertilized,Broadleaved species,2.85,5.8
2,a,Elevated,Unfertilized,Broadleaved species,2.35,6.2
3,b,Elevated,Fertilized,Broadleaved species,4.6,7.9
3,b,Elevated,Fertilized,Broadleaved species,8.2,10.85
3,b,Elevated,Fertilized,Broadleaved species,3.2,4.9
3,b,Elevated,Fertilized,Broadleaved species,4.7,7.8
3,b,Elevated,Fertilized,Broadleaved species,8.3,8.65
3,b,Elevated,Fertilized,Broadleaved species,5.3,6.35
3,b,Elevated,Fertilized,Broadleaved species,5.8,6.3
3,b,Elevated,Fertilized,Broadleaved species,7.95,9.3
3,b,Elevated,Fertilized,Broadleaved species,2.7,4.35
3,b,Elevated,Fertilized,Broadleaved species,3.2,5.3
3,b,Elevated,Unfertilized,Broadleaved species,10.2,12.54
3,b,Elevated,Unfertilized,Broadleaved species,9.7,14.32
3,b,Elevated,Unfertilized,Broadleaved species,4.8,6.4
3,b,Elevated,Unfertilized,Broadleaved species,5.8,7.45
3,b,Elevated,Unfertilized,Broadleaved species,10.6,14.95
3,b,Elevated,Unfertilized,Broadleaved species,3.5,7.5
3,b,Elevated,Unfertilized,Broadleaved species,6.7,12.45
3,b,Elevated,Unfertilized,Broadleaved species,5,9.8
3,b,Elevated,Unfertilized,Broadleaved species,11.1,17.1
3,b,Elevated,Unfertilized,Broadleaved species,2.6,3.95
3,b,Elevated,Unfertilized,Broadleaved species,6.1,7.5
3,b,Elevated,Unfertilized,Broadleaved species,3.8,5.9
3,b,Elevated,Unfertilized,Broadleaved species,5.4,6.7
3,b,Elevated,Unfertilized,Broadleaved species,5.5,7.3
3,b,Elevated,Unfertilized,Broadleaved species,2.5,4.7
3,b,Elevated,Unfertilized,Broadleaved species,4,6.3
3,b,Elevated,Unfertilized,Broadleaved species,2.8,7
3,b,Elevated,Unfertilized,Broadleaved species,3.55,7.3
3,b,Elevated,Unfertilized,Broadleaved species,5.05,7.9
3,b,Elevated,Unfertilized,Broadleaved species,3.1,6.55
3,b,Elevated,Unfertilized,Broadleaved species,4.1,6.9
3,b,Elevated,Unfertilized,Broadleaved species,3.9,6.4
3,b,Elevated,Unfertilized,Broadleaved species,3.7,7
3,b,Elevated,Unfertilized,Broadleaved species,2.3,6.5
3,b,Elevated,Unfertilized,Broadleaved species,3,5.5
3,b,Elevated,Unfertilized,Broadleaved species,2.3,5.1
4,c,Elevated,Unfertilized,Broadleaved species,5.1,7.4
4,c,Elevated,Unfertilized,Broadleaved species,5.3,8.9
4,c,Elevated,Unfertilized,Broadleaved species,4,7.7
4,c,Elevated,Unfertilized,Broadleaved species,6,9.1
4,c,Elevated,Unfertilized,Broadleaved species,4.6,6.7
4,c,Elevated,Unfertilized,Broadleaved species,3.5,5.3
4,c,Elevated,Unfertilized,Broadleaved species,5.5,6.6
4,c,Elevated,Unfertilized,Broadleaved species,4.1,5.2
4,c,Elevated,Unfertilized,Broadleaved species,4.4,6
4,c,Elevated,Unfertilized,Broadleaved species,6.4,9.8
4,c,Elevated,Unfertilized,Broadleaved species,3.8,7.6
4,c,Elevated,Unfertilized,Broadleaved species,6,11.4
4,c,Elevated,Unfertilized,Broadleaved species,9.5,11.7
4,c,Elevated,Unfertilized,Broadleaved species,3.5,6.2
4,c,Elevated,Unfertilized,Broadleaved species,3.8,7.2
4,c,Elevated,Unfertilized,Broadleaved species,8.9,11.4
4,c,Elevated,Unfertilized,Broadleaved species,3.6,6.1
4,c,Elevated,Unfertilized,Broadleaved species,3.2,4.9
4,c,Elevated,Unfertilized,Broadleaved species,4.4,6.8
4,c,Elevated,Unfertilized,Broadleaved species,2.5,5.5
4,c,Elevated,Unfertilized,Broadleaved species,2.1,4.3
4,c,Elevated,Unfertilized,Broadleaved species,7.3,11.1
4,c,Elevated,Unfertilized,Broadleaved species,4,5.9
4,c,Elevated,Unfertilized,Broadleaved species,7.2,9.1
4,c,Elevated,Unfertilized,Broadleaved species,4.7,8.9
4,c,Elevated,Unfertilized,Broadleaved species,3.9,8.4
4,c,Elevated,Unfertilized,Broadleaved species,3.8,5.2
4,c,Elevated,Unfertilized,Broadleaved species,10.5,12.4
4,c,Elevated,Unfertilized,Broadleaved species,4.1,7.7
4,c,Elevated,Unfertilized,Broadleaved species,9.2,12.8
4,c,Elevated,Unfertilized,Broadleaved species,7.6,10.6
4,c,Elevated,Unfertilized,Broadleaved species,3,5.5
4,c,Elevated,Unfertilized,Broadleaved species,5.3,8.4
4,c,Elevated,Unfertilized,Broadleaved species,2.7,5.7
4,c,Elevated,Fertilized,Broadleaved species,8.4,11.41
4,c,Elevated,Fertilized,Broadleaved species,3.6,5.95
4,c,Elevated,Fertilized,Broadleaved species,2.9,5.1
4,c,Elevated,Fertilized,Broadleaved species,8.25,10.68
4,c,Elevated,Fertilized,Broadleaved species,5,9
4,c,Elevated,Fertilized,Broadleaved species,5.8,8.6
4,c,Elevated,Fertilized,Broadleaved species,4.4,8.65
4,c,Elevated,Fertilized,Broadleaved species,5.5,9.5
4,c,Elevated,Fertilized,Broadleaved species,4.5,7.6
4,c,Elevated,Fertilized,Broadleaved species,2.3,5.2
4,c,Elevated,Fertilized,Broadleaved species,2,3.5
4,c,Elevated,Fertilized,Broadleaved species,7.3,10.65
4,c,Elevated,Fertilized,Broadleaved species,6.2,9.4
4,c,Elevated,Fertilized,Broadleaved species,2.9,5.5
4,c,Elevated,Fertilized,Broadleaved species,6.4,5.8
4,c,Elevated,Fertilized,Broadleaved species,6.2,9.9
4,c,Elevated,Fertilized,Broadleaved species,3.2,6.2
4,c,Elevated,Fertilized,Broadleaved species,3.3,2.1
4,c,Elevated,Fertilized,Broadleaved species,9.1,10.9
4,c,Elevated,Fertilized,Broadleaved species,3.7,7
4,c,Elevated,Fertilized,Broadleaved species,2.9,7.35
4,c,Elevated,Fertilized,Broadleaved species,3.6,6.2
4,c,Elevated,Fertilized,Broadleaved species,2.9,5.1
4,c,Elevated,Fertilized,Broadleaved species,3.3,5.9
4,c,Elevated,Fertilized,Broadleaved species,3.1,7
4,c,Elevated,Fertilized,Broadleaved species,3.9,7.7
4,c,Elevated,Fertilized,Broadleaved species,2.1,5.3
5,b,Ambient,Fertilized,Broadleaved species,3.1,5.2
5,b,Ambient,Fertilized,Broadleaved species,3.7,5.3
5,b,Ambient,Fertilized,Broadleaved species,4,7.3
5,b,Ambient,Fertilized,Broadleaved species,8.2,15.77
5,b,Ambient,Fertilized,Broadleaved species,8.3,10.3
5,b,Ambient,Fertilized,Broadleaved species,7.5,10.5
5,b,Ambient,Fertilized,Broadleaved species,4.9,7.2
5,b,Ambient,Fertilized,Broadleaved species,6.6,9.2
5,b,Ambient,Fertilized,Broadleaved species,2.3,3.4
5,b,Ambient,Fertilized,Broadleaved species,3.1,6.3
5,b,Ambient,Fertilized,Broadleaved species,2.1,3.5
5,b,Ambient,Fertilized,Broadleaved species,4.5,8.7
5,b,Ambient,Fertilized,Broadleaved species,17.3,21.55
5,b,Ambient,Fertilized,Broadleaved species,3.3,5.8
5,b,Ambient,Fertilized,Broadleaved species,3.05,5.25
5,b,Ambient,Fertilized,Broadleaved species,2.2,5.5
5,b,Ambient,Fertilized,Broadleaved species,2.7,5.1
5,b,Ambient,Fertilized,Broadleaved species,2,4.2
5,b,Ambient,Unfertilized,Broadleaved species,2.8,4.4
5,b,Ambient,Unfertilized,Broadleaved species,6.1,9.2
5,b,Ambient,Unfertilized,Broadleaved species,2.8,5.7
5,b,Ambient,Unfertilized,Broadleaved species,2.25,3.7
5,b,Ambient,Unfertilized,Broadleaved species,4.2,6.7
5,b,Ambient,Unfertilized,Broadleaved species,3.1,5.5
5,b,Ambient,Unfertilized,Broadleaved species,3,6.2
5,b,Ambient,Unfertilized,Broadleaved species,3.1,3.7
5,b,Ambient,Unfertilized,Broadleaved species,4.15,7.3
5,b,Ambient,Unfertilized,Broadleaved species,3,4.6
5,b,Ambient,Unfertilized,Broadleaved species,2.9,4.1
5,b,Ambient,Unfertilized,Broadleaved species,6,8.7
